asset_id,provider,signal_name,provider_signal_path
67060,isotrol,Act_Energy_D,GOO.P01I1.Act_Energy_D_5M
67060,isotrol,Setpoint,GOO.P01I1.Setpoint_Pac_5M
67061,isotrol,Act_Energy_D,GOO.P01I2.Act_Energy_D_5M
67061,isotrol,Setpoint,GOO.P01I2.Setpoint_Pac_5M
67062,isotrol,Act_Energy_D,GOO.P02I1.Act_Energy_D_5M
67062,isotrol,Setpoint,GOO.P02I1.Setpoint_Pac_5M
67063,isotrol,Act_Energy_D,GOO.P02I2.Act_Energy_D_5M
67063,isotrol,Setpoint,GOO.P02I2.Setpoint_Pac_5M
67064,isotrol,Act_Energy_D,GOO.P03I1.Act_Energy_D_5M
67064,isotrol,Setpoint,GOO.P03I1.Setpoint_Pac_5M
67065,isotrol,Setpoint,GOO.P03I2.Setpoint_Pac_5M
67065,isotrol,Act_Energy_D,GOO.P03I2.Act_Energy_D_5M
67066,isotrol,Act_Energy_D,GOO.P04I1.Act_Energy_D_5M
67066,isotrol,Setpoint,GOO.P04I1.Setpoint_Pac_5M
67067,isotrol,Setpoint,GOO.P05I1.Setpoint_Pac_5M
67067,isotrol,Act_Energy_D,GOO.P05I1.Act_Energy_D_5M
67068,isotrol,Act_Energy_D,GOO.P05I2.Act_Energy_D_5M
67068,isotrol,Setpoint,GOO.P05I2.Setpoint_Pac_5M
67069,isotrol,Act_Energy_D,GOO.P06I1.Act_Energy_D_5M
67069,isotrol,Setpoint,GOO.P06I1.Setpoint_Pac_5M
67070,isotrol,Act_Energy_D,GOO.P06I2.Act_Energy_D_5M
67070,isotrol,Setpoint,GOO.P06I2.Setpoint_Pac_5M
67071,isotrol,Setpoint,GOO.P07I1.Setpoint_Pac_5M
67071,isotrol,Act_Energy_D,GOO.P07I1.Act_Energy_D_5M
67072,isotrol,Act_Energy_D,GOO.P07I2.Act_Energy_D_5M
67072,isotrol,Setpoint,GOO.P07I2.Setpoint_Pac_5M
67073,isotrol,Setpoint,GOO.P08I1.Setpoint_Pac_5M
67073,isotrol,Act_Energy_D,GOO.P08I1.Act_Energy_D_5M
67074,isotrol,Setpoint,GOO.P08I2.Setpoint_Pac_5M
67074,isotrol,Act_Energy_D,GOO.P08I2.Act_Energy_D_5M
67075,isotrol,Setpoint,GOO.P09I1.Setpoint_Pac_5M
67075,isotrol,Act_Energy_D,GOO.P09I1.Act_Energy_D_5M
67076,isotrol,Setpoint,GOO.P09I2.Setpoint_Pac_5M
67076,isotrol,Act_Energy_D,GOO.P09I2.Act_Energy_D_5M
67077,isotrol,Act_Energy_D,GOO.P10I1.Act_Energy_D_5M
67077,isotrol,Setpoint,GOO.P10I1.Setpoint_Pac_5M
67078,isotrol,Setpoint,GOO.P10I2.Setpoint_Pac_5M
67078,isotrol,Act_Energy_D,GOO.P10I2.Act_Energy_D_5M
67079,isotrol,Setpoint,GOO.P11I1.Setpoint_Pac_5M
67079,isotrol,Act_Energy_D,GOO.P11I1.Act_Energy_D_5M
67080,isotrol,Setpoint,GOO.P11I2.Setpoint_Pac_5M
67080,isotrol,Act_Energy_D,GOO.P11I2.Act_Energy_D_5M
67081,isotrol,Setpoint,GOO.P12I1.Setpoint_Pac_5M
67081,isotrol,Act_Energy_D,GOO.P12I1.Act_Energy_D_5M
67082,isotrol,Setpoint,GOO.P12I2.Setpoint_Pac_5M
67082,isotrol,Act_Energy_D,GOO.P12I2.Act_Energy_D_5M
67083,isotrol,Setpoint,GOO.P13I1.Setpoint_Pac_5M
67083,isotrol,Act_Energy_D,GOO.P13I1.Act_Energy_D_5M
67084,isotrol,Setpoint,GOO.P13I2.Setpoint_Pac_5M
67084,isotrol,Act_Energy_D,GOO.P13I2.Act_Energy_D_5M
67085,isotrol,Act_Energy_D,GOO.P14I1.Act_Energy_D_5M
67085,isotrol,Setpoint,GOO.P14I1.Setpoint_Pac_5M
67086,isotrol,Setpoint,GOO.P14I2.Setpoint_Pac_5M
67086,isotrol,Act_Energy_D,GOO.P14I2.Act_Energy_D_5M
67087,isotrol,Setpoint,GOO.P15I1.Setpoint_Pac_5M
67087,isotrol,Act_Energy_D,GOO.P15I1.Act_Energy_D_5M
67088,isotrol,Setpoint,GOO.P15I2.Setpoint_Pac_5M
67088,isotrol,Act_Energy_D,GOO.P15I2.Act_Energy_D_5M
67089,isotrol,Setpoint,GOO.P16I1.Setpoint_Pac_5M
67089,isotrol,Act_Energy_D,GOO.P16I1.Act_Energy_D_5M
67090,isotrol,Act_Energy_D,GOO.P16I2.Act_Energy_D_5M
67090,isotrol,Setpoint,GOO.P16I2.Setpoint_Pac_5M
