asset_id,provider,signal_name,provider_signal_path
67595,isotrol,Trk_Inclin,GOO.T0001.Trk_Inclin_5M
67595,isotrol,Trk_Inclin_SetPoint,GOO.T0001.Trk_Inclin_SetPoint_5M
67596,isotrol,Trk_Inclin_SetPoint,GOO.T0002.Trk_Inclin_SetPoint_5M
67596,isotrol,Trk_Inclin,GOO.T0002.Trk_Inclin_5M
67597,isotrol,Trk_Inclin,GOO.T0003.Trk_Inclin_5M
67597,isotrol,Trk_Inclin_SetPoint,GOO.T0003.Trk_Inclin_SetPoint_5M
67598,isotrol,Trk_Inclin,GOO.T0004.Trk_Inclin_5M
67598,isotrol,Trk_Inclin_SetPoint,GOO.T0004.Trk_Inclin_SetPoint_5M
67599,isotrol,Trk_Inclin,GOO.T0005.Trk_Inclin_5M
67599,isotrol,Trk_Inclin_SetPoint,GOO.T0005.Trk_Inclin_SetPoint_5M
67600,isotrol,Trk_Inclin_SetPoint,GOO.T0006.Trk_Inclin_SetPoint_5M
67600,isotrol,Trk_Inclin,GOO.T0006.Trk_Inclin_5M
67601,isotrol,Trk_Inclin_SetPoint,GOO.T0007.Trk_Inclin_SetPoint_5M
67601,isotrol,Trk_Inclin,GOO.T0007.Trk_Inclin_5M
67602,isotrol,Trk_Inclin_SetPoint,GOO.T0008.Trk_Inclin_SetPoint_5M
67602,isotrol,Trk_Inclin,GOO.T0008.Trk_Inclin_5M
67603,isotrol,Trk_Inclin_SetPoint,GOO.T0009.Trk_Inclin_SetPoint_5M
67603,isotrol,Trk_Inclin,GOO.T0009.Trk_Inclin_5M
67604,isotrol,Trk_Inclin_SetPoint,GOO.T0010.Trk_Inclin_SetPoint_5M
67604,isotrol,Trk_Inclin,GOO.T0010.Trk_Inclin_5M
67605,isotrol,Trk_Inclin_SetPoint,GOO.T0011.Trk_Inclin_SetPoint_5M
67605,isotrol,Trk_Inclin,GOO.T0011.Trk_Inclin_5M
67606,isotrol,Trk_Inclin_SetPoint,GOO.T0012.Trk_Inclin_SetPoint_5M
67606,isotrol,Trk_Inclin,GOO.T0012.Trk_Inclin_5M
67607,isotrol,Trk_Inclin,GOO.T0013.Trk_Inclin_5M
67607,isotrol,Trk_Inclin_SetPoint,GOO.T0013.Trk_Inclin_SetPoint_5M
67608,isotrol,Trk_Inclin,GOO.T0014.Trk_Inclin_5M
67608,isotrol,Trk_Inclin_SetPoint,GOO.T0014.Trk_Inclin_SetPoint_5M
67609,isotrol,Trk_Inclin,GOO.T0015.Trk_Inclin_5M
67609,isotrol,Trk_Inclin_SetPoint,GOO.T0015.Trk_Inclin_SetPoint_5M
67610,isotrol,Trk_Inclin_SetPoint,GOO.T0016.Trk_Inclin_SetPoint_5M
67610,isotrol,Trk_Inclin,GOO.T0016.Trk_Inclin_5M
67611,isotrol,Trk_Inclin,GOO.T0017.Trk_Inclin_5M
67611,isotrol,Trk_Inclin_SetPoint,GOO.T0017.Trk_Inclin_SetPoint_5M
67612,isotrol,Trk_Inclin,GOO.T0018.Trk_Inclin_5M
67612,isotrol,Trk_Inclin_SetPoint,GOO.T0018.Trk_Inclin_SetPoint_5M
67613,isotrol,Trk_Inclin,GOO.T0019.Trk_Inclin_5M
67613,isotrol,Trk_Inclin_SetPoint,GOO.T0019.Trk_Inclin_SetPoint_5M
67614,isotrol,Trk_Inclin,GOO.T0020.Trk_Inclin_5M
67614,isotrol,Trk_Inclin_SetPoint,GOO.T0020.Trk_Inclin_SetPoint_5M
67615,isotrol,Trk_Inclin,GOO.T0021.Trk_Inclin_5M
67615,isotrol,Trk_Inclin_SetPoint,GOO.T0021.Trk_Inclin_SetPoint_5M
67616,isotrol,Trk_Inclin_SetPoint,GOO.T0022.Trk_Inclin_SetPoint_5M
67616,isotrol,Trk_Inclin,GOO.T0022.Trk_Inclin_5M
67617,isotrol,Trk_Inclin,GOO.T0023.Trk_Inclin_5M
67617,isotrol,Trk_Inclin_SetPoint,GOO.T0023.Trk_Inclin_SetPoint_5M
67618,isotrol,Trk_Inclin_SetPoint,GOO.T0024.Trk_Inclin_SetPoint_5M
67618,isotrol,Trk_Inclin,GOO.T0024.Trk_Inclin_5M
67619,isotrol,Trk_Inclin,GOO.T0025.Trk_Inclin_5M
