path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
GOO.PS01.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2893.602
GOO.PS01.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2893.602
GOO.PS02.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2893.602
GOO.PS02.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2893.602
GOO.PS03.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2832.036
GOO.PS03.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2955.168
GOO.PS04.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS05.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2924.385
GOO.PS05.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS06.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2924.385
GOO.PS06.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS07.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS07.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS08.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS08.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS09.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS09.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS10.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS10.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS11.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS11.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS12.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS12.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS13.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS13.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS14.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2924.385
GOO.PS14.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS15.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS15.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2862.819
GOO.PS16.I001,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2832.036
GOO.PS16.I002,GOO.SUB.INC01,12,Inverter,-33.14513,148.16724,,,,2893.602
GOO.PS01.I001.L1CB01,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB02,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB03,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB04,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB05,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB06,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB07,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB08,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB09,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB10,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB11,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB12,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB13,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB14,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB15,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I001.L1CB18,GOO.PS01.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,123.132
GOO.PS01.I002.L1CB16,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB17,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB19,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB20,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB21,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB22,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,153.915
GOO.PS01.I002.L1CB23,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB24,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB25,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB26,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB27,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,153.915
GOO.PS01.I002.L1CB28,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB29,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB30,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB31,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS01.I002.L1CB32,GOO.PS01.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB17,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,123.132
GOO.PS02.I001.L1CB18,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB19,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB20,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB21,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB22,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB23,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB24,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB25,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB26,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB27,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB28,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB29,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB30,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB31,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I001.L1CB32,GOO.PS02.I001,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB01,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB02,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB03,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB04,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB05,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB06,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB07,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB08,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,123.132
GOO.PS02.I002.L1CB10,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB11,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB12,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB13,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB14,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB15,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB16,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
GOO.PS02.I002.L1CB09,GOO.PS02.I002,12,Combiner_Box_L1,-33.14513,148.16724,,,,184.698
