asset_id,provider,signal_name,provider_signal_path
62173,isotrol,Act_Energy_D,LSF.P01L1.Act_Energy_D_5M
62173,isotrol,Setpoint,LSF.P01L1.Setpoint_Pac_5M
62174,isotrol,Setpoint,LSF.P01L2.Setpoint_Pac_5M
62174,isotrol,Act_Energy_D,LSF.P01L2.Act_Energy_D_5M
62175,isotrol,Setpoint,LSF.P01L3.Setpoint_Pac_5M
62175,isotrol,Act_Energy_D,LSF.P01L3.Act_Energy_D_5M
62176,isotrol,Act_Energy_D,LSF.P02L1.Act_Energy_D_5M
62176,isotrol,Setpoint,LSF.P02L1.Setpoint_Pac_5M
62177,isotrol,Act_Energy_D,LSF.P02L2.Act_Energy_D_5M
62177,isotrol,Setpoint,LSF.P02L2.Setpoint_Pac_5M
62178,isotrol,Act_Energy_D,LSF.P02L3.Act_Energy_D_5M
62178,isotrol,Setpoint,LSF.P02L3.Setpoint_Pac_5M
62179,isotrol,Act_Energy_D,LSF.P03L1.Act_Energy_D_5M
62179,isotrol,Setpoint,LSF.P03L1.Setpoint_Pac_5M
62180,isotrol,Act_Energy_D,LSF.P03L2.Act_Energy_D_5M
62180,isotrol,Setpoint,LSF.P03L2.Setpoint_Pac_5M
62181,isotrol,Act_Energy_D,LSF.P03L3.Act_Energy_D_5M
62181,isotrol,Setpoint,LSF.P03L3.Setpoint_Pac_5M
62182,isotrol,Setpoint,LSF.P04L1.Setpoint_Pac_5M
62182,isotrol,Act_Energy_D,LSF.P04L1.Act_Energy_D_5M
62183,isotrol,Act_Energy_D,LSF.P04L2.Act_Energy_D_5M
62183,isotrol,Setpoint,LSF.P04L2.Setpoint_Pac_5M
62184,isotrol,Setpoint,LSF.P04L3.Setpoint_Pac_5M
62184,isotrol,Act_Energy_D,LSF.P04L3.Act_Energy_D_5M
62185,isotrol,Setpoint,LSF.P05L1.Setpoint_Pac_5M
62185,isotrol,Act_Energy_D,LSF.P05L1.Act_Energy_D_5M
62186,isotrol,Setpoint,LSF.P05L2.Setpoint_Pac_5M
62186,isotrol,Act_Energy_D,LSF.P05L2.Act_Energy_D_5M
62187,isotrol,Setpoint,LSF.P05L3.Setpoint_Pac_5M
62187,isotrol,Act_Energy_D,LSF.P05L3.Act_Energy_D_5M
62188,isotrol,Setpoint,LSF.P06L1.Setpoint_Pac_5M
62188,isotrol,Act_Energy_D,LSF.P06L1.Act_Energy_D_5M
62189,isotrol,Setpoint,LSF.P06L2.Setpoint_Pac_5M
62189,isotrol,Act_Energy_D,LSF.P06L2.Act_Energy_D_5M
62190,isotrol,Act_Energy_D,LSF.P06L3.Act_Energy_D_5M
62190,isotrol,Setpoint,LSF.P06L3.Setpoint_Pac_5M
62191,isotrol,Act_Energy_D,LSF.P07L1.Act_Energy_D_5M
62191,isotrol,Setpoint,LSF.P07L1.Setpoint_Pac_5M
62192,isotrol,Act_Energy_D,LSF.P07L2.Act_Energy_D_5M
62192,isotrol,Setpoint,LSF.P07L2.Setpoint_Pac_5M
62193,isotrol,Setpoint,LSF.P07L3.Setpoint_Pac_5M
62193,isotrol,Act_Energy_D,LSF.P07L3.Act_Energy_D_5M
62194,isotrol,Setpoint,LSF.P08L1.Setpoint_Pac_5M
62194,isotrol,Act_Energy_D,LSF.P08L1.Act_Energy_D_5M
62195,isotrol,Setpoint,LSF.P08L2.Setpoint_Pac_5M
62195,isotrol,Act_Energy_D,LSF.P08L2.Act_Energy_D_5M
62196,isotrol,Setpoint,LSF.P08L3.Setpoint_Pac_5M
62196,isotrol,Act_Energy_D,LSF.P08L3.Act_Energy_D_5M
62197,isotrol,Setpoint,LSF.P09L1.Setpoint_Pac_5M
62197,isotrol,Act_Energy_D,LSF.P09L1.Act_Energy_D_5M
62198,isotrol,Act_Energy_D,LSF.P09L2.Act_Energy_D_5M
62198,isotrol,Setpoint,LSF.P09L2.Setpoint_Pac_5M
62199,isotrol,Act_Energy_D,LSF.P09L3.Act_Energy_D_5M
62199,isotrol,Setpoint,LSF.P09L3.Setpoint_Pac_5M
62200,isotrol,Act_Energy_D,LSF.P10L1.Act_Energy_D_5M
62200,isotrol,Setpoint,LSF.P10L1.Setpoint_Pac_5M
62201,isotrol,Act_Energy_D,LSF.P10L2.Act_Energy_D_5M
62201,isotrol,Setpoint,LSF.P10L2.Setpoint_Pac_5M
