asset_id,provider,signal_name,provider_signal_path
62653,isotrol,Trk_Inclin,LSF.T0073.Trk_Inclin_5M
62653,isotrol,Trk_Inclin_SetPoint,LSF.T0073.Trk_Inclin_SetPoint_5M
62654,isotrol,Trk_Inclin_SetPoint,LSF.T0074.Trk_Inclin_SetPoint_5M
62654,isotrol,Trk_Inclin,LSF.T0074.Trk_Inclin_5M
62655,isotrol,Trk_Inclin,LSF.T0075.Trk_Inclin_5M
62655,isotrol,Trk_Inclin_SetPoint,LSF.T0075.Trk_Inclin_SetPoint_5M
62656,isotrol,Trk_Inclin,LSF.T0076.Trk_Inclin_5M
62656,isotrol,Trk_Inclin_SetPoint,LSF.T0076.Trk_Inclin_SetPoint_5M
62657,isotrol,Trk_Inclin,LSF.T0077.Trk_Inclin_5M
62657,isotrol,Trk_Inclin_SetPoint,LSF.T0077.Trk_Inclin_SetPoint_5M
62658,isotrol,Trk_Inclin_SetPoint,LSF.T0078.Trk_Inclin_SetPoint_5M
62658,isotrol,Trk_Inclin,LSF.T0078.Trk_Inclin_5M
62659,isotrol,Trk_Inclin_SetPoint,LSF.T0079.Trk_Inclin_SetPoint_5M
62659,isotrol,Trk_Inclin,LSF.T0079.Trk_Inclin_5M
62660,isotrol,Trk_Inclin_SetPoint,LSF.T0080.Trk_Inclin_SetPoint_5M
62660,isotrol,Trk_Inclin,LSF.T0080.Trk_Inclin_5M
62661,isotrol,Trk_Inclin_SetPoint,LSF.T0081.Trk_Inclin_SetPoint_5M
62661,isotrol,Trk_Inclin,LSF.T0081.Trk_Inclin_5M
62662,isotrol,Trk_Inclin_SetPoint,LSF.T0082.Trk_Inclin_SetPoint_5M
62662,isotrol,Trk_Inclin,LSF.T0082.Trk_Inclin_5M
62663,isotrol,Trk_Inclin_SetPoint,LSF.T0083.Trk_Inclin_SetPoint_5M
62663,isotrol,Trk_Inclin,LSF.T0083.Trk_Inclin_5M
62664,isotrol,Trk_Inclin_SetPoint,LSF.T0084.Trk_Inclin_SetPoint_5M
62664,isotrol,Trk_Inclin,LSF.T0084.Trk_Inclin_5M
62665,isotrol,Trk_Inclin,LSF.T0124.Trk_Inclin_5M
62665,isotrol,Trk_Inclin_SetPoint,LSF.T0124.Trk_Inclin_SetPoint_5M
62666,isotrol,Trk_Inclin,LSF.T0125.Trk_Inclin_5M
62666,isotrol,Trk_Inclin_SetPoint,LSF.T0125.Trk_Inclin_SetPoint_5M
62667,isotrol,Trk_Inclin,LSF.T0126.Trk_Inclin_5M
62667,isotrol,Trk_Inclin_SetPoint,LSF.T0126.Trk_Inclin_SetPoint_5M
62668,isotrol,Trk_Inclin_SetPoint,LSF.T0127.Trk_Inclin_SetPoint_5M
62668,isotrol,Trk_Inclin,LSF.T0127.Trk_Inclin_5M
62669,isotrol,Trk_Inclin,LSF.T0128.Trk_Inclin_5M
62669,isotrol,Trk_Inclin_SetPoint,LSF.T0128.Trk_Inclin_SetPoint_5M
62670,isotrol,Trk_Inclin,LSF.T0129.Trk_Inclin_5M
62670,isotrol,Trk_Inclin_SetPoint,LSF.T0129.Trk_Inclin_SetPoint_5M
62671,isotrol,Trk_Inclin,LSF.T0130.Trk_Inclin_5M
62671,isotrol,Trk_Inclin_SetPoint,LSF.T0130.Trk_Inclin_SetPoint_5M
62672,isotrol,Trk_Inclin,LSF.T0131.Trk_Inclin_5M
62672,isotrol,Trk_Inclin_SetPoint,LSF.T0131.Trk_Inclin_SetPoint_5M
62673,isotrol,Trk_Inclin,LSF.T0132.Trk_Inclin_5M
62673,isotrol,Trk_Inclin_SetPoint,LSF.T0132.Trk_Inclin_SetPoint_5M
62674,isotrol,Trk_Inclin_SetPoint,LSF.T0133.Trk_Inclin_SetPoint_5M
62674,isotrol,Trk_Inclin,LSF.T0133.Trk_Inclin_5M
62675,isotrol,Trk_Inclin,LSF.T0134.Trk_Inclin_5M
62675,isotrol,Trk_Inclin_SetPoint,LSF.T0134.Trk_Inclin_SetPoint_5M
62676,isotrol,Trk_Inclin_SetPoint,LSF.T0135.Trk_Inclin_SetPoint_5M
62676,isotrol,Trk_Inclin,LSF.T0135.Trk_Inclin_5M
62677,isotrol,Trk_Inclin,LSF.T0136.Trk_Inclin_5M
62677,isotrol,Trk_Inclin_SetPoint,LSF.T0136.Trk_Inclin_SetPoint_5M
62678,isotrol,Trk_Inclin,LSF.T0137.Trk_Inclin_5M
62678,isotrol,Trk_Inclin_SetPoint,LSF.T0137.Trk_Inclin_SetPoint_5M
62679,isotrol,Trk_Inclin,LSF.T0138.Trk_Inclin_5M
62679,isotrol,Trk_Inclin_SetPoint,LSF.T0138.Trk_Inclin_SetPoint_5M
62680,isotrol,Trk_Inclin_SetPoint,LSF.T0139.Trk_Inclin_SetPoint_5M
62680,isotrol,Trk_Inclin,LSF.T0139.Trk_Inclin_5M
62681,isotrol,Trk_Inclin_SetPoint,LSF.T0140.Trk_Inclin_SetPoint_5M
62681,isotrol,Trk_Inclin,LSF.T0140.Trk_Inclin_5M
62682,isotrol,Trk_Inclin,LSF.T0141.Trk_Inclin_5M
62682,isotrol,Trk_Inclin_SetPoint,LSF.T0141.Trk_Inclin_SetPoint_5M
62683,isotrol,Trk_Inclin_SetPoint,LSF.T0142.Trk_Inclin_SetPoint_5M
62683,isotrol,Trk_Inclin,LSF.T0142.Trk_Inclin_5M
62684,isotrol,Trk_Inclin_SetPoint,LSF.T0143.Trk_Inclin_SetPoint_5M
62684,isotrol,Trk_Inclin,LSF.T0143.Trk_Inclin_5M
62685,isotrol,Trk_Inclin,LSF.T0144.Trk_Inclin_5M
62685,isotrol,Trk_Inclin_SetPoint,LSF.T0144.Trk_Inclin_SetPoint_5M
62686,isotrol,Trk_Inclin_SetPoint,LSF.T0145.Trk_Inclin_SetPoint_5M
62686,isotrol,Trk_Inclin,LSF.T0145.Trk_Inclin_5M
62687,isotrol,Trk_Inclin_SetPoint,LSF.T0146.Trk_Inclin_SetPoint_5M
62687,isotrol,Trk_Inclin,LSF.T0146.Trk_Inclin_5M
62688,isotrol,Trk_Inclin_SetPoint,LSF.T0147.Trk_Inclin_SetPoint_5M
62688,isotrol,Trk_Inclin,LSF.T0147.Trk_Inclin_5M
62689,isotrol,Trk_Inclin_SetPoint,LSF.T0148.Trk_Inclin_SetPoint_5M
62689,isotrol,Trk_Inclin,LSF.T0148.Trk_Inclin_5M
62690,isotrol,Trk_Inclin_SetPoint,LSF.T0149.Trk_Inclin_SetPoint_5M
62690,isotrol,Trk_Inclin,LSF.T0149.Trk_Inclin_5M
62691,isotrol,Trk_Inclin,LSF.T0150.Trk_Inclin_5M
62691,isotrol,Trk_Inclin_SetPoint,LSF.T0150.Trk_Inclin_SetPoint_5M
62692,isotrol,Trk_Inclin_SetPoint,LSF.T0151.Trk_Inclin_SetPoint_5M
62692,isotrol,Trk_Inclin,LSF.T0151.Trk_Inclin_5M
62693,isotrol,Trk_Inclin_SetPoint,LSF.T0152.Trk_Inclin_SetPoint_5M
62693,isotrol,Trk_Inclin,LSF.T0152.Trk_Inclin_5M
62694,isotrol,Trk_Inclin,LSF.T0153.Trk_Inclin_5M
62694,isotrol,Trk_Inclin_SetPoint,LSF.T0153.Trk_Inclin_SetPoint_5M
62695,isotrol,Trk_Inclin,LSF.T0154.Trk_Inclin_5M
62695,isotrol,Trk_Inclin_SetPoint,LSF.T0154.Trk_Inclin_SetPoint_5M
62696,isotrol,Trk_Inclin,LSF.T0155.Trk_Inclin_5M
62696,isotrol,Trk_Inclin_SetPoint,LSF.T0155.Trk_Inclin_SetPoint_5M
62697,isotrol,Trk_Inclin,LSF.T0156.Trk_Inclin_5M
62697,isotrol,Trk_Inclin_SetPoint,LSF.T0156.Trk_Inclin_SetPoint_5M
62698,isotrol,Trk_Inclin,LSF.T0157.Trk_Inclin_5M
62698,isotrol,Trk_Inclin_SetPoint,LSF.T0157.Trk_Inclin_SetPoint_5M
62699,isotrol,Trk_Inclin,LSF.T0158.Trk_Inclin_5M
62699,isotrol,Trk_Inclin_SetPoint,LSF.T0158.Trk_Inclin_SetPoint_5M
62700,isotrol,Trk_Inclin_SetPoint,LSF.T0159.Trk_Inclin_SetPoint_5M
62700,isotrol,Trk_Inclin,LSF.T0159.Trk_Inclin_5M
