path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
LSF.PS01.I001,LSF.PS01,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS01.I002,LSF.PS01,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS01.I003,LSF.PS01,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS02.I001,LSF.PS02,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS02.I002,LSF.PS02,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS02.I003,LSF.PS02,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS03.I001,LSF.PS03,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS03.I002,LSF.PS03,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS03.I003,LSF.PS03,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS04.I001,LSF.PS04,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS04.I002,LSF.PS04,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS04.I003,LSF.PS04,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS05.I001,LSF.PS05,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS05.I002,LSF.PS05,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS05.I003,LSF.PS05,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS06.I001,LSF.PS06,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS06.I002,LSF.PS06,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS06.I003,LSF.PS06,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS07.I001,LSF.PS07,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS07.I002,LSF.PS07,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS07.I003,LSF.PS07,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS08.I001,LSF.PS08,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS08.I002,LSF.PS08,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS08.I003,LSF.PS08,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS09.I001,LSF.PS09,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS09.I002,LSF.PS09,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS09.I003,LSF.PS09,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS10.I001,LSF.PS10,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS10.I002,LSF.PS10,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS10.I003,LSF.PS10,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS11.I001,LSF.PS11,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS11.I002,LSF.PS11,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS11.I003,LSF.PS11,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS12.I001,LSF.PS12,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS12.I002,LSF.PS12,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS12.I003,LSF.PS12,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS13.I001,LSF.PS13,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS13.I002,LSF.PS13,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS13.I003,LSF.PS13,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS14.I001,LSF.PS14,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS14.I002,LSF.PS14,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS14.I003,LSF.PS14,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS15.I001,LSF.PS15,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS15.I002,LSF.PS15,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS15.I003,LSF.PS15,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS16.I001,LSF.PS16,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS16.I002,LSF.PS16,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS16.I003,LSF.PS16,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS17.I001,LSF.PS17,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS17.I002,LSF.PS17,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS17.I003,LSF.PS17,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS18.I001,LSF.PS18,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS18.I002,LSF.PS18,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS18.I003,LSF.PS18,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS19.I001,LSF.PS19,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS19.I002,LSF.PS19,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS20.I001,LSF.PS20,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS20.I002,LSF.PS20,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS20.I003,LSF.PS20,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS21.I001,LSF.PS21,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS21.I002,LSF.PS21,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS21.I003,LSF.PS21,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS22.I001,LSF.PS22,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS22.I002,LSF.PS22,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS22.I003,LSF.PS22,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS23.I001,LSF.PS23,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS23.I002,LSF.PS23,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS23.I003,LSF.PS23,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS24.I001,LSF.PS24,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS24.I002,LSF.PS24,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS24.I003,LSF.PS24,11,Inverter,-23.04434,148.35774,,,,1728.0
LSF.PS25.I001,LSF.PS25,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS25.I002,LSF.PS25,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS25.I003,LSF.PS25,11,Inverter,-23.04434,148.35774,,,,1699.2
LSF.PS01.I001.L1CB01,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB02,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB03,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB04,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
LSF.PS01.I001.L1CB05,LSF.PS01.I001,11,Combiner_Box_L1,-23.04434,148.35774,,,,345.6
