asset_id,provider,signal_name,provider_signal_path
71176,isotrol,Act_Energy_D,MAF.IQ001.Act_Energy_D_5M
71176,isotrol,Setpoint,MAF.IQ001.Setpoint_Pac_5M
71177,isotrol,Act_Energy_D,MAF.IQ002.Act_Energy_D_5M
71177,isotrol,Setpoint,MAF.IQ002.Setpoint_Pac_5M
71178,isotrol,Act_Energy_D,MAF.IQ003.Act_Energy_D_5M
71178,isotrol,Setpoint,MAF.IQ003.Setpoint_Pac_5M
71179,isotrol,Act_Energy_D,MAF.IQ004.Act_Energy_D_5M
71179,isotrol,Setpoint,MAF.IQ004.Setpoint_Pac_5M
71180,isotrol,Act_Energy_D,MAF.IQ005.Act_Energy_D_5M
71180,isotrol,Setpoint,MAF.IQ005.Setpoint_Pac_5M
71181,isotrol,Setpoint,MAF.IQ006.Setpoint_Pac_5M
71181,isotrol,Act_Energy_D,MAF.IQ006.Act_Energy_D_5M
71182,isotrol,Act_Energy_D,MAF.IQ007.Act_Energy_D_5M
71182,isotrol,Setpoint,MAF.IQ007.Setpoint_Pac_5M
71183,isotrol,Setpoint,MAF.IQ008.Setpoint_Pac_5M
71183,isotrol,Act_Energy_D,MAF.IQ008.Act_Energy_D_5M
71184,isotrol,Act_Energy_D,MAF.IQ009.Act_Energy_D_5M
71184,isotrol,Setpoint,MAF.IQ009.Setpoint_Pac_5M
71185,isotrol,Act_Energy_D,MAF.IQ010.Act_Energy_D_5M
71185,isotrol,Setpoint,MAF.IQ010.Setpoint_Pac_5M
71186,isotrol,Act_Energy_D,MAF.IQ011.Act_Energy_D_5M
71186,isotrol,Setpoint,MAF.IQ011.Setpoint_Pac_5M
71187,isotrol,Setpoint,MAF.IQ012.Setpoint_Pac_5M
71187,isotrol,Act_Energy_D,MAF.IQ012.Act_Energy_D_5M
71188,isotrol,Act_Energy_D,MAF.IQ013.Act_Energy_D_5M
71188,isotrol,Setpoint,MAF.IQ013.Setpoint_Pac_5M
71189,isotrol,Setpoint,MAF.IQ014.Setpoint_Pac_5M
71189,isotrol,Act_Energy_D,MAF.IQ014.Act_Energy_D_5M
71190,isotrol,Setpoint,MAF.IQ015.Setpoint_Pac_5M
71190,isotrol,Act_Energy_D,MAF.IQ015.Act_Energy_D_5M
71191,isotrol,Setpoint,MAF.IQ016.Setpoint_Pac_5M
71191,isotrol,Act_Energy_D,MAF.IQ016.Act_Energy_D_5M
71192,isotrol,Setpoint,MAF.IQ017.Setpoint_Pac_5M
71192,isotrol,Act_Energy_D,MAF.IQ017.Act_Energy_D_5M
71193,isotrol,Act_Energy_D,MAF.IQ018.Act_Energy_D_5M
71193,isotrol,Setpoint,MAF.IQ018.Setpoint_Pac_5M
71194,isotrol,Setpoint,MAF.IQ019.Setpoint_Pac_5M
71194,isotrol,Act_Energy_D,MAF.IQ019.Act_Energy_D_5M
71195,isotrol,Setpoint,MAF.IQ020.Setpoint_Pac_5M
71195,isotrol,Act_Energy_D,MAF.IQ020.Act_Energy_D_5M
71196,isotrol,Setpoint,MAF.IQ021.Setpoint_Pac_5M
71196,isotrol,Act_Energy_D,MAF.IQ021.Act_Energy_D_5M
71197,isotrol,Setpoint,MAF.IQ022.Setpoint_Pac_5M
71197,isotrol,Act_Energy_D,MAF.IQ022.Act_Energy_D_5M
71198,isotrol,Setpoint,MAF.IQ023.Setpoint_Pac_5M
71198,isotrol,Act_Energy_D,MAF.IQ023.Act_Energy_D_5M
71199,isotrol,Setpoint,MAF.IQ024.Setpoint_Pac_5M
71199,isotrol,Act_Energy_D,MAF.IQ024.Act_Energy_D_5M
71200,isotrol,Setpoint,MAF.IQ025.Setpoint_Pac_5M
71200,isotrol,Act_Energy_D,MAF.IQ025.Act_Energy_D_5M
71201,isotrol,Act_Energy_D,MAF.IQ026.Act_Energy_D_5M
71201,isotrol,Setpoint,MAF.IQ026.Setpoint_Pac_5M
71202,isotrol,Setpoint,MAF.IQ027.Setpoint_Pac_5M
71202,isotrol,Act_Energy_D,MAF.IQ027.Act_Energy_D_5M
71203,isotrol,Setpoint,MAF.IQ028.Setpoint_Pac_5M
71203,isotrol,Act_Energy_D,MAF.IQ028.Act_Energy_D_5M
71204,isotrol,Setpoint,MAF.IQ029.Setpoint_Pac_5M
71204,isotrol,Act_Energy_D,MAF.IQ029.Act_Energy_D_5M
71205,isotrol,Setpoint,MAF.IQ030.Setpoint_Pac_5M
71205,isotrol,Act_Energy_D,MAF.IQ030.Act_Energy_D_5M
71206,isotrol,Act_Energy_D,MAF.IQ031.Act_Energy_D_5M
71206,isotrol,Setpoint,MAF.IQ031.Setpoint_Pac_5M
