asset_id,provider,signal_name,provider_signal_path
70506,isotrol,Trk_Inclin,MAF.Q0001.Trk_Inclin_5M
70506,isotrol,Trk_Inclin_SetPoint,MAF.Q0001.Trk_Inclin_SetPoint_5M
70507,isotrol,Trk_Inclin,MAF.Q0002.Trk_Inclin_5M
70507,isotrol,Trk_Inclin_SetPoint,MAF.Q0002.Trk_Inclin_SetPoint_5M
70508,isotrol,Trk_Inclin,MAF.Q0003.Trk_Inclin_5M
70508,isotrol,Trk_Inclin_SetPoint,MAF.Q0003.Trk_Inclin_SetPoint_5M
70509,isotrol,Trk_Inclin,MAF.Q0004.Trk_Inclin_5M
70509,isotrol,Trk_Inclin_SetPoint,MAF.Q0004.Trk_Inclin_SetPoint_5M
70510,isotrol,Trk_Inclin,MAF.Q0005.Trk_Inclin_5M
70510,isotrol,Trk_Inclin_SetPoint,MAF.Q0005.Trk_Inclin_SetPoint_5M
70511,isotrol,Trk_Inclin,MAF.Q0006.Trk_Inclin_5M
70511,isotrol,Trk_Inclin_SetPoint,MAF.Q0006.Trk_Inclin_SetPoint_5M
70512,isotrol,Trk_Inclin,MAF.Q0007.Trk_Inclin_5M
70512,isotrol,Trk_Inclin_SetPoint,MAF.Q0007.Trk_Inclin_SetPoint_5M
70513,isotrol,Trk_Inclin_SetPoint,MAF.Q0008.Trk_Inclin_SetPoint_5M
70513,isotrol,Trk_Inclin,MAF.Q0008.Trk_Inclin_5M
70514,isotrol,Trk_Inclin_SetPoint,MAF.Q0009.Trk_Inclin_SetPoint_5M
70514,isotrol,Trk_Inclin,MAF.Q0009.Trk_Inclin_5M
70515,isotrol,Trk_Inclin_SetPoint,MAF.Q0010.Trk_Inclin_SetPoint_5M
70515,isotrol,Trk_Inclin,MAF.Q0010.Trk_Inclin_5M
70516,isotrol,Trk_Inclin_SetPoint,MAF.Q0011.Trk_Inclin_SetPoint_5M
70516,isotrol,Trk_Inclin,MAF.Q0011.Trk_Inclin_5M
70517,isotrol,Trk_Inclin,MAF.Q0012.Trk_Inclin_5M
70517,isotrol,Trk_Inclin_SetPoint,MAF.Q0012.Trk_Inclin_SetPoint_5M
70518,isotrol,Trk_Inclin,MAF.Q0013.Trk_Inclin_5M
70518,isotrol,Trk_Inclin_SetPoint,MAF.Q0013.Trk_Inclin_SetPoint_5M
70519,isotrol,Trk_Inclin,MAF.Q0014.Trk_Inclin_5M
70519,isotrol,Trk_Inclin_SetPoint,MAF.Q0014.Trk_Inclin_SetPoint_5M
70520,isotrol,Trk_Inclin_SetPoint,MAF.Q0015.Trk_Inclin_SetPoint_5M
70520,isotrol,Trk_Inclin,MAF.Q0015.Trk_Inclin_5M
70521,isotrol,Trk_Inclin_SetPoint,MAF.Q0016.Trk_Inclin_SetPoint_5M
70521,isotrol,Trk_Inclin,MAF.Q0016.Trk_Inclin_5M
70522,isotrol,Trk_Inclin_SetPoint,MAF.Q0017.Trk_Inclin_SetPoint_5M
70522,isotrol,Trk_Inclin,MAF.Q0017.Trk_Inclin_5M
70523,isotrol,Trk_Inclin_SetPoint,MAF.Q0018.Trk_Inclin_SetPoint_5M
70523,isotrol,Trk_Inclin,MAF.Q0018.Trk_Inclin_5M
70524,isotrol,Trk_Inclin,MAF.Q0019.Trk_Inclin_5M
70524,isotrol,Trk_Inclin_SetPoint,MAF.Q0019.Trk_Inclin_SetPoint_5M
70525,isotrol,Trk_Inclin,MAF.Q0020.Trk_Inclin_5M
70525,isotrol,Trk_Inclin_SetPoint,MAF.Q0020.Trk_Inclin_SetPoint_5M
70526,isotrol,Trk_Inclin_SetPoint,MAF.Q0021.Trk_Inclin_SetPoint_5M
70526,isotrol,Trk_Inclin,MAF.Q0021.Trk_Inclin_5M
70527,isotrol,Trk_Inclin_SetPoint,MAF.Q0022.Trk_Inclin_SetPoint_5M
70527,isotrol,Trk_Inclin,MAF.Q0022.Trk_Inclin_5M
70528,isotrol,Trk_Inclin,MAF.Q0023.Trk_Inclin_5M
70528,isotrol,Trk_Inclin_SetPoint,MAF.Q0023.Trk_Inclin_SetPoint_5M
70529,isotrol,Trk_Inclin_SetPoint,MAF.Q0024.Trk_Inclin_SetPoint_5M
70529,isotrol,Trk_Inclin,MAF.Q0024.Trk_Inclin_5M
70530,isotrol,Trk_Inclin_SetPoint,MAF.Q0025.Trk_Inclin_SetPoint_5M
70530,isotrol,Trk_Inclin,MAF.Q0025.Trk_Inclin_5M
70531,isotrol,Trk_Inclin,MAF.Q0026.Trk_Inclin_5M
70531,isotrol,Trk_Inclin_SetPoint,MAF.Q0026.Trk_Inclin_SetPoint_5M
70532,isotrol,Trk_Inclin_SetPoint,MAF.Q0027.Trk_Inclin_SetPoint_5M
70532,isotrol,Trk_Inclin,MAF.Q0027.Trk_Inclin_5M
70533,isotrol,Trk_Inclin,MAF.Q0028.Trk_Inclin_5M
70533,isotrol,Trk_Inclin_SetPoint,MAF.Q0028.Trk_Inclin_SetPoint_5M
70534,isotrol,Trk_Inclin_SetPoint,MAF.Q0029.Trk_Inclin_SetPoint_5M
70534,isotrol,Trk_Inclin,MAF.Q0029.Trk_Inclin_5M
70535,isotrol,Trk_Inclin_SetPoint,MAF.Q0030.Trk_Inclin_SetPoint_5M
70535,isotrol,Trk_Inclin,MAF.Q0030.Trk_Inclin_5M
70536,isotrol,Trk_Inclin_SetPoint,MAF.Q0031.Trk_Inclin_SetPoint_5M
70536,isotrol,Trk_Inclin,MAF.Q0031.Trk_Inclin_5M
70537,isotrol,Trk_Inclin,MAF.Q0032.Trk_Inclin_5M
70537,isotrol,Trk_Inclin_SetPoint,MAF.Q0032.Trk_Inclin_SetPoint_5M
70538,isotrol,Trk_Inclin,MAF.Q0033.Trk_Inclin_5M
70538,isotrol,Trk_Inclin_SetPoint,MAF.Q0033.Trk_Inclin_SetPoint_5M
70539,isotrol,Trk_Inclin_SetPoint,MAF.Q0034.Trk_Inclin_SetPoint_5M
70539,isotrol,Trk_Inclin,MAF.Q0034.Trk_Inclin_5M
70540,isotrol,Trk_Inclin,MAF.Q0035.Trk_Inclin_5M
70540,isotrol,Trk_Inclin_SetPoint,MAF.Q0035.Trk_Inclin_SetPoint_5M
70541,isotrol,Trk_Inclin_SetPoint,MAF.Q0036.Trk_Inclin_SetPoint_5M
70541,isotrol,Trk_Inclin,MAF.Q0036.Trk_Inclin_5M
70542,isotrol,Trk_Inclin_SetPoint,MAF.Q0037.Trk_Inclin_SetPoint_5M
70542,isotrol,Trk_Inclin,MAF.Q0037.Trk_Inclin_5M
70543,isotrol,Trk_Inclin_SetPoint,MAF.Q0038.Trk_Inclin_SetPoint_5M
70543,isotrol,Trk_Inclin,MAF.Q0038.Trk_Inclin_5M
70544,isotrol,Trk_Inclin,MAF.Q0039.Trk_Inclin_5M
70544,isotrol,Trk_Inclin_SetPoint,MAF.Q0039.Trk_Inclin_SetPoint_5M
70545,isotrol,Trk_Inclin_SetPoint,MAF.Q0040.Trk_Inclin_SetPoint_5M
70545,isotrol,Trk_Inclin,MAF.Q0040.Trk_Inclin_5M
70546,isotrol,Trk_Inclin_SetPoint,MAF.Q0041.Trk_Inclin_SetPoint_5M
70546,isotrol,Trk_Inclin,MAF.Q0041.Trk_Inclin_5M
70547,isotrol,Trk_Inclin_SetPoint,MAF.Q0042.Trk_Inclin_SetPoint_5M
70547,isotrol,Trk_Inclin,MAF.Q0042.Trk_Inclin_5M
70548,isotrol,Trk_Inclin_SetPoint,MAF.Q0043.Trk_Inclin_SetPoint_5M
70548,isotrol,Trk_Inclin,MAF.Q0043.Trk_Inclin_5M
70549,isotrol,Trk_Inclin_SetPoint,MAF.Q0044.Trk_Inclin_SetPoint_5M
70549,isotrol,Trk_Inclin,MAF.Q0044.Trk_Inclin_5M
70550,isotrol,Trk_Inclin,MAF.Q0045.Trk_Inclin_5M
70550,isotrol,Trk_Inclin_SetPoint,MAF.Q0045.Trk_Inclin_SetPoint_5M
70551,isotrol,Trk_Inclin,MAF.Q0046.Trk_Inclin_5M
70551,isotrol,Trk_Inclin_SetPoint,MAF.Q0046.Trk_Inclin_SetPoint_5M
70552,isotrol,Trk_Inclin_SetPoint,MAF.Q0047.Trk_Inclin_SetPoint_5M
70552,isotrol,Trk_Inclin,MAF.Q0047.Trk_Inclin_5M
70553,isotrol,Trk_Inclin_SetPoint,MAF.Q0048.Trk_Inclin_SetPoint_5M
70553,isotrol,Trk_Inclin,MAF.Q0048.Trk_Inclin_5M
70554,isotrol,Trk_Inclin,MAF.Q0049.Trk_Inclin_5M
70554,isotrol,Trk_Inclin_SetPoint,MAF.Q0049.Trk_Inclin_SetPoint_5M
70555,isotrol,Trk_Inclin_SetPoint,MAF.Q0050.Trk_Inclin_SetPoint_5M
70555,isotrol,Trk_Inclin,MAF.Q0050.Trk_Inclin_5M
70556,isotrol,Trk_Inclin_SetPoint,MAF.Q0051.Trk_Inclin_SetPoint_5M
70556,isotrol,Trk_Inclin,MAF.Q0051.Trk_Inclin_5M
70557,isotrol,Trk_Inclin,MAF.Q0052.Trk_Inclin_5M
70557,isotrol,Trk_Inclin_SetPoint,MAF.Q0052.Trk_Inclin_SetPoint_5M
70558,isotrol,Trk_Inclin,MAF.Q0053.Trk_Inclin_5M
70558,isotrol,Trk_Inclin_SetPoint,MAF.Q0053.Trk_Inclin_SetPoint_5M
