path,parent_path,plant_id,type,latitude,longitude,manufacturer,model,description,downstream_power
MAF.PS01.MTRK01,MAF.PS01.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS02.MTRK01,MAF.PS02.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS03.MTRK01,MAF.PS03.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS04.MTRK01,MAF.PS04.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS05.MTRK01,MAF.PS05.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS06.MTRK01,MAF.PS06.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS07.MTRK01,MAF.PS07.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS08.MTRK01,MAF.PS08.I001,9,Master_Tracker,32.35295,36.292272,,,,2145.0
MAF.PS09.MTRK01,MAF.PS09.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS10.MTRK01,MAF.PS10.I001,9,Master_Tracker,32.35295,36.292272,,,,2145.0
MAF.PS11.MTRK01,MAF.PS11.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS12.MTRK01,MAF.PS12.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS13.MTRK01,MAF.PS13.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS14.MTRK01,MAF.PS14.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS15.MTRK01,MAF.PS15.I001,9,Master_Tracker,32.35295,36.292272,,,,2164.5
MAF.PS16.MTRK01,MAF.PS16.I001,9,Master_Tracker,32.35295,36.292272,,,,2047.5
MAF.PS01.I001.TRK001,MAF.PS01.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I001.TRK002,MAF.PS01.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I001.TRK003,MAF.PS01.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I001.TRK007,MAF.PS01.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I001.TRK008,MAF.PS01.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I001.TRK009,MAF.PS01.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK004,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK005,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK006,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK010,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK011,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK012,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS01.I002.TRK013,MAF.PS01.I002,9,Tracker,32.35295,36.292272,,,,97.5
MAF.PS02.I001.TRK001,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I001.TRK002,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I001.TRK003,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I001.TRK008,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,253.5
MAF.PS02.I002.TRK004,MAF.PS02.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I002.TRK005,MAF.PS02.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I002.TRK006,MAF.PS02.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I002.TRK007,MAF.PS02.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I001.TRK009,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I001.TRK010,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I002.TRK011,MAF.PS02.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I002.TRK012,MAF.PS02.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS02.I001.TRK013,MAF.PS02.I001,9,Tracker,32.35295,36.292272,,,,195.0
MAF.PS03.I001.TRK001,MAF.PS03.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I001.TRK002,MAF.PS03.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I001.TRK003,MAF.PS03.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I001.TRK007,MAF.PS03.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I001.TRK008,MAF.PS03.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I001.TRK009,MAF.PS03.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK004,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK005,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK006,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK010,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK011,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK012,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS03.I002.TRK013,MAF.PS03.I002,9,Tracker,32.35295,36.292272,,,,97.5
MAF.PS04.I001.TRK001,MAF.PS04.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS04.I001.TRK002,MAF.PS04.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS04.I001.TRK003,MAF.PS04.I001,9,Tracker,32.35295,36.292272,,,,351.0
MAF.PS04.I001.TRK004,MAF.PS04.I001,9,Tracker,32.35295,36.292272,,,,351.0
