asset_id,provider,signal_name,provider_signal_path
71207,isotrol,Act_Energy_D,MOR.IM001.Act_Energy_D_5M
71207,isotrol,Setpoint,MOR.IM001.Setpoint_Pac_5M
71208,isotrol,Act_Energy_D,MOR.IM002.Act_Energy_D_5M
71208,isotrol,Setpoint,MOR.IM002.Setpoint_Pac_5M
71209,isotrol,Act_Energy_D,MOR.IM003.Act_Energy_D_5M
71209,isotrol,Setpoint,MOR.IM003.Setpoint_Pac_5M
71210,isotrol,Act_Energy_D,MOR.IM004.Act_Energy_D_5M
71210,isotrol,Setpoint,MOR.IM004.Setpoint_Pac_5M
71211,isotrol,Act_Energy_D,MOR.IM005.Act_Energy_D_5M
71211,isotrol,Setpoint,MOR.IM005.Setpoint_Pac_5M
71212,isotrol,Act_Energy_D,MOR.IM006.Act_Energy_D_5M
71212,isotrol,Setpoint,MOR.IM006.Setpoint_Pac_5M
71213,isotrol,Act_Energy_D,MOR.IM007.Act_Energy_D_5M
71213,isotrol,Setpoint,MOR.IM007.Setpoint_Pac_5M
71214,isotrol,Setpoint,MOR.IM008.Setpoint_Pac_5M
71214,isotrol,Act_Energy_D,MOR.IM008.Act_Energy_D_5M
71215,isotrol,Setpoint,MOR.IM009.Setpoint_Pac_5M
71215,isotrol,Act_Energy_D,MOR.IM009.Act_Energy_D_5M
71216,isotrol,Setpoint,MOR.IM010.Setpoint_Pac_5M
71216,isotrol,Act_Energy_D,MOR.IM010.Act_Energy_D_5M
71217,isotrol,Setpoint,MOR.IM011.Setpoint_Pac_5M
71217,isotrol,Act_Energy_D,MOR.IM011.Act_Energy_D_5M
71218,isotrol,Setpoint,MOR.IM012.Setpoint_Pac_5M
71218,isotrol,Act_Energy_D,MOR.IM012.Act_Energy_D_5M
71219,isotrol,Setpoint,MOR.IM013.Setpoint_Pac_5M
71219,isotrol,Act_Energy_D,MOR.IM013.Act_Energy_D_5M
71220,isotrol,Act_Energy_D,MOR.IM014.Act_Energy_D_5M
71220,isotrol,Setpoint,MOR.IM014.Setpoint_Pac_5M
71221,isotrol,Setpoint,MOR.IM015.Setpoint_Pac_5M
71221,isotrol,Act_Energy_D,MOR.IM015.Act_Energy_D_5M
71222,isotrol,Act_Energy_D,MOR.IM016.Act_Energy_D_5M
71222,isotrol,Setpoint,MOR.IM016.Setpoint_Pac_5M
71223,isotrol,Setpoint,MOR.IM017.Setpoint_Pac_5M
71223,isotrol,Act_Energy_D,MOR.IM017.Act_Energy_D_5M
71224,isotrol,Act_Energy_D,MOR.IM018.Act_Energy_D_5M
71224,isotrol,Setpoint,MOR.IM018.Setpoint_Pac_5M
71225,isotrol,Act_Energy_D,MOR.IM019.Act_Energy_D_5M
71225,isotrol,Setpoint,MOR.IM019.Setpoint_Pac_5M
71226,isotrol,Setpoint,MOR.IM020.Setpoint_Pac_5M
71226,isotrol,Act_Energy_D,MOR.IM020.Act_Energy_D_5M
