child_id,parent_id
62247,62173
62248,62173
62249,62173
62250,62173
62251,62173
62252,62174
62253,62174
62254,62174
62255,62174
62256,62174
62257,62174
62258,62175
62259,62175
62260,62175
62261,62175
62262,62175
62263,62176
62264,62176
62265,62176
62266,62176
62267,62176
62268,62176
62269,62177
62270,62177
62271,62177
62272,62177
62273,62177
62274,62177
62275,62178
62276,62178
62277,62178
62278,62178
62279,62178
62280,62179
62281,62179
62282,62179
62283,62179
62284,62179
62285,62180
62286,62180
62287,62180
62288,62180
62289,62180
62290,62180
62291,62181
62292,62181
62293,62181
62294,62181
62295,62181
62296,62182
62297,62182
62298,62182
62299,62182
62300,62182
62301,62183
62302,62183
62303,62183
62304,62183
62305,62183
62306,62183
62307,62184
62308,62184
62309,62184
62310,62184
62311,62184
62312,62185
62313,62185
62314,62185
62315,62185
62316,62185
62317,62185
62318,62186
62319,62186
62320,62186
62321,62186
62322,62186
62323,62187
62324,62187
62325,62187
62326,62187
62327,62187
62328,62187
62329,62188
62330,62188
62331,62188
62332,62188
62333,62188
62334,62189
62335,62189
62336,62189
62337,62189
62338,62189
62339,62189
62340,62190
62341,62190
62342,62190
62343,62190
62344,62190
62345,62191
62346,62191
62347,62191
62348,62191
62349,62191
62350,62191
62351,62192
62352,62192
62353,62192
62354,62192
62355,62192
62356,62192
62357,62193
62358,62193
62359,62193
62360,62193
62361,62193
62362,62193
62363,62194
62364,62194
62365,62194
62366,62194
62367,62194
62368,62195
62369,62195
62370,62195
62371,62195
62372,62195
62373,62195
62374,62196
62375,62196
62376,62196
62377,62196
62378,62196
62379,62196
62380,62197
62381,62197
62382,62197
62383,62197
62384,62197
62385,62198
62386,62198
62387,62198
62388,62198
62389,62198
62390,62198
62391,62199
62392,62199
62393,62199
62394,62199
62395,62199
62396,62200
62397,62200
62398,62200
62399,62200
62400,62200
62401,62201
62402,62201
62403,62201
62404,62201
62405,62201
62406,62201
62407,62202
62408,62202
62409,62202
62410,62202
62411,62202
62412,62203
62413,62203
62414,62203
62415,62203
62416,62203
62417,62204
62418,62204
62419,62204
62420,62204
62421,62204
62422,62204
62423,62205
62424,62205
62425,62205
62426,62205
62427,62205
62428,62206
62429,62206
62430,62206
62431,62206
62432,62206
62433,62206
62434,62207
62435,62207
62436,62207
62437,62207
62438,62207
62439,62208
62440,62208
62441,62208
62442,62208
62443,62208
62444,62209
62445,62209
62446,62209
62447,62209
62448,62209
62449,62209
62450,62210
62451,62210
62452,62210
62453,62210
62454,62210
62455,62210
62456,62211
62457,62211
62458,62211
62459,62211
62460,62211
62461,62212
62462,62212
62463,62212
62464,62212
62465,62212
62466,62213
62467,62213
62468,62213
62469,62213
62470,62213
62471,62213
62472,62214
62473,62214
62474,62214
62475,62214
62476,62214
62477,62214
62478,62215
62479,62215
62480,62215
62481,62215
62482,62215
62483,62216
62484,62216
62485,62216
62486,62216
62487,62216
62488,62216
62489,62217
62490,62217
62491,62217
62492,62217
62493,62217
62494,62218
62495,62218
62496,62218
62497,62218
62498,62218
62499,62219
62500,62219
62501,62219
62502,62219
62503,62219
62504,62220
62505,62220
62506,62220
62507,62220
62508,62220
62509,62221
62510,62221
62511,62221
62512,62221
62513,62221
62514,62222
62515,62222
62516,62222
62517,62222
62518,62222
62519,62223
62520,62223
62521,62223
62522,62223
62523,62223
62524,62224
62525,62224
62526,62224
62527,62224
62528,62224
62529,62224
62530,62225
62531,62225
62532,62225
62533,62225
62534,62225
62535,62225
62536,62226
62537,62226
62538,62226
62539,62226
62540,62226
62541,62227
62542,62227
62543,62227
62544,62227
62545,62227
62546,62228
62547,62228
62548,62228
62549,62228
62550,62228
62551,62228
62552,62229
62553,62229
62554,62229
62555,62229
62556,62229
62557,62229
62558,62230
62559,62230
62560,62230
62561,62230
62562,62230
62563,62231
62564,62231
62565,62231
62566,62231
62567,62231
62568,62231
62569,62232
62570,62232
62571,62232
62572,62232
62573,62232
62574,62233
62575,62233
62576,62233
62577,62233
62578,62233
62579,62233
62580,62234
62581,62234
62582,62234
62583,62234
62584,62234
62585,62234
62586,62235
62587,62235
62588,62235
62589,62235
62590,62235
62591,62235
62592,62236
62593,62236
62594,62236
62595,62236
62596,62236
62597,62237
62598,62237
62599,62237
62600,62237
62601,62237
62602,62237
62603,62238
62604,62238
62605,62238
62606,62238
62607,62238
62608,62238
62609,62239
62610,62239
62611,62239
62612,62239
62613,62239
62614,62239
62615,62240
62616,62240
62617,62240
62618,62240
62619,62240
62620,62241
62621,62241
62622,62241
62623,62241
62624,62241
62625,62242
62626,62242
62627,62242
62628,62242
62629,62242
62630,62242
62631,62243
62632,62243
62633,62243
62634,62243
62635,62243
62636,62244
62637,62244
62638,62244
62639,62244
62640,62244
62641,62244
62642,62245
62643,62245
62644,62245
62645,62245
62646,62245
62647,62245
62648,62246
62649,62246
62650,62246
62651,62246
62652,62246
62653,62173
62654,62173
62655,62173
62656,62173
62657,62173
62658,62173
62659,62173
62660,62173
62661,62173
62662,62173
62663,62173
62664,62173
62665,62173
62666,62173
62667,62173
62668,62173
62669,62173
62670,62173
62671,62173
62672,62173
62673,62173
62674,62173
62675,62173
62676,62173
62677,62173
62678,62173
62679,62173
62680,62173
62681,62173
62682,62173
