child_id,parent_id
71263,71207
71264,71207
71265,71207
71266,71207
71267,71207
71268,71207
71269,71207
71270,71207
71271,71207
71272,71207
71273,71207
71274,71207
71275,71208
71276,71208
71277,71208
71278,71208
71279,71208
71280,71208
71281,71208
71282,71208
71283,71208
71284,71208
71285,71208
71286,71208
71287,71209
71288,71209
71289,71209
71290,71209
71291,71209
71292,71209
71293,71209
71294,71209
71295,71209
71296,71209
71297,71209
71298,71209
71299,71210
71300,71210
71301,71210
71302,71210
71303,71210
71304,71210
71305,71210
71306,71210
71307,71210
71308,71210
71309,71210
71310,71210
71311,71211
71312,71211
71313,71211
71314,71211
71315,71211
71316,71211
71317,71211
71318,71211
71319,71211
71320,71211
71321,71211
71322,71211
71323,71212
71324,71212
71325,71212
71326,71212
71327,71212
71328,71212
71329,71212
71330,71212
71331,71212
71332,71212
71333,71212
71334,71212
71335,71213
71336,71213
71337,71213
71338,71213
71339,71213
71340,71213
71341,71213
71342,71213
71343,71213
71344,71213
71345,71213
71346,71213
71347,71214
71348,71214
71349,71214
71350,71214
71351,71214
71352,71214
71353,71214
71354,71214
71355,71214
71356,71214
71357,71214
71358,71214
71359,71215
71360,71215
71361,71215
71362,71215
71363,71215
71364,71215
71365,71215
71366,71215
71367,71215
71368,71215
71369,71215
71370,71215
71371,71216
71372,71216
71373,71216
71374,71216
71375,71216
71376,71216
71377,71216
71378,71216
71379,71216
71380,71216
71381,71216
71382,71216
71383,71217
71384,71217
71385,71217
71386,71217
71387,71217
71388,71217
71389,71217
71390,71217
71391,71217
71392,71217
71393,71217
71394,71217
71395,71218
71396,71218
71397,71218
71398,71218
71399,71218
71400,71218
71401,71218
71402,71218
71403,71218
71404,71218
71405,71218
71406,71218
71407,71219
71408,71219
71409,71219
71410,71219
71411,71219
71412,71219
71413,71219
71414,71219
71415,71219
71416,71219
71417,71219
71418,71219
71419,71220
71420,71220
71421,71220
71422,71220
71423,71220
71424,71220
71425,71220
71426,71220
71427,71220
71428,71220
71429,71220
71430,71220
71431,71221
71432,71221
71433,71221
71434,71221
71435,71221
71436,71221
71437,71221
71438,71221
71439,71221
71440,71221
71441,71221
71442,71221
71443,71222
71444,71222
71445,71222
71446,71222
71447,71222
71448,71222
71449,71222
71450,71222
71451,71222
71452,71222
71453,71222
71454,71222
71455,71223
71456,71223
71457,71223
71458,71223
71459,71223
71460,71223
71461,71223
71462,71223
71463,71223
71464,71223
71465,71223
71466,71223
71467,71224
71468,71224
71469,71224
71470,71224
71471,71224
71472,71224
71473,71224
71474,71224
71475,71224
71476,71224
71477,71224
71478,71224
71479,71225
71480,71225
71481,71225
71482,71225
71483,71225
71484,71225
71485,71225
71486,71225
71487,71225
71488,71225
71489,71225
71490,71225
71491,71226
71492,71226
71493,71226
71494,71226
71495,71226
71496,71226
71497,71226
71498,71226
71499,71226
71500,71226
71501,71226
71502,71226
71503,71227
71504,71227
71505,71227
71506,71227
71507,71227
71508,71227
71509,71227
71510,71227
71511,71227
71512,71227
71513,71227
71514,71227
71515,71228
71516,71228
71517,71228
71518,71228
71519,71228
71520,71228
71521,71228
71522,71228
71523,71228
71524,71228
71525,71228
71526,71228
71527,71229
71528,71229
71529,71229
71530,71229
71531,71229
71532,71229
71533,71229
71534,71229
71535,71229
71536,71229
71537,71229
71538,71229
71539,71230
71540,71230
71541,71230
71542,71230
71543,71230
71544,71230
71545,71230
71546,71230
71547,71230
71548,71230
71549,71230
71550,71230
71551,71231
71552,71231
71553,71231
71554,71231
71555,71231
71556,71231
71557,71231
71558,71231
71559,71231
71560,71231
71561,71231
71562,71231
71563,71232
71564,71232
71565,71232
71566,71232
71567,71232
71568,71232
71569,71232
71570,71232
71571,71232
71572,71232
71573,71232
71574,71232
71575,71233
71576,71233
71577,71233
71578,71233
71579,71233
71580,71233
71581,71233
71582,71233
71583,71233
71584,71233
71585,71233
71586,71233
71587,71234
71588,71234
71589,71234
71590,71234
71591,71234
71592,71234
71593,71234
71594,71234
71595,71234
71596,71234
71597,71234
71598,71234
71599,71235
71600,71235
71601,71235
71602,71235
71603,71235
71604,71235
71605,71235
71606,71235
71607,71235
71608,71235
71609,71235
71610,71235
71611,71236
71612,71236
71613,71236
71614,71236
71615,71236
71616,71236
71617,71236
71618,71236
71619,71236
71620,71236
71621,71236
71622,71236
71623,71237
71624,71237
71625,71237
71626,71237
71627,71237
71628,71237
71629,71237
71630,71237
71631,71237
71632,71237
71633,71237
71634,71237
71635,71238
71636,71238
71637,71238
71638,71238
71639,71238
71640,71238
71641,71238
71642,71238
71643,71238
71644,71238
71645,71238
71646,71238
71647,71239
71648,71239
71649,71239
71650,71239
71651,71239
71652,71239
71653,71239
71654,71239
71655,71239
71656,71239
71657,71239
71658,71239
71659,71240
71660,71240
71661,71240
71662,71240
71663,71240
71664,71240
71665,71240
71666,71240
71667,71240
71668,71240
71669,71240
71670,71240
71671,71241
71672,71241
71673,71241
71674,71241
71675,71241
71676,71241
71677,71241
71678,71241
71679,71241
71680,71241
71681,71241
71682,71241
71683,71242
71684,71242
71685,71242
71686,71242
71687,71242
71688,71242
71689,71242
71690,71242
71691,71242
71692,71242
71693,71242
71694,71242
71695,71243
71696,71243
71697,71243
71698,71243
71699,71243
71700,71243
71701,71243
71702,71243
71703,71243
71704,71243
71705,71243
71706,71243
71707,71244
71708,71244
71709,71244
71710,71244
71711,71244
71712,71244
71713,71244
71714,71244
71715,71244
71716,71244
71717,71244
71718,71244
71719,71245
71720,71245
71721,71245
71722,71245
71723,71245
71724,71245
71725,71245
71726,71245
71727,71245
71728,71245
71729,71245
71730,71245
71731,71246
71732,71246
71733,71246
71734,71246
71735,71246
71736,71246
71737,71246
71738,71246
71739,71246
71740,71246
71741,71246
71742,71246
71743,71247
71744,71247
71745,71247
71746,71247
71747,71247
71748,71247
71749,71247
71750,71247
71751,71247
71752,71247
71753,71247
71754,71247
71755,71248
71756,71248
71757,71248
71758,71248
71759,71248
71760,71248
71761,71248
71762,71248
71763,71248
71764,71248
71765,71248
71766,71248
71767,71249
71768,71249
71769,71249
71770,71249
71771,71249
71772,71249
71773,71249
71774,71249
71775,71249
71776,71249
71777,71249
71778,71249
71779,71250
71780,71250
71781,71250
71782,71250
71783,71250
71784,71250
71785,71250
71786,71250
71787,71250
71788,71250
71789,71250
71790,71250
71791,71251
71792,71251
71793,71251
71794,71251
71795,71251
71796,71251
71797,71251
71798,71251
71799,71251
71800,71251
71801,71251
71802,71251
71803,71252
71804,71252
71805,71252
71806,71252
71807,71252
71808,71252
71809,71252
71810,71252
71811,71252
71812,71252
71813,71252
71814,71252
71815,71253
71816,71253
71817,71253
71818,71253
71819,71253
71820,71253
71821,71253
71822,71253
71823,71253
71824,71253
71825,71253
71826,71253
71827,71254
71828,71254
71829,71254
71830,71254
71831,71254
71832,71254
71833,71254
71834,71254
71835,71254
71836,71254
71837,71254
71838,71254
71839,71255
71840,71255
71841,71255
71842,71255
71843,71255
71844,71255
71845,71255
71846,71255
71847,71255
71848,71255
71849,71255
71850,71255
71851,71256
71852,71256
71853,71256
71854,71256
71855,71256
71856,71256
71857,71256
71858,71256
71859,71256
71860,71256
71861,71256
71862,71256
71863,71257
71864,71257
71865,71257
71866,71257
71867,71257
71868,71257
71869,71257
71870,71257
71871,71257
71872,71257
71873,71257
71874,71257
71875,71258
71876,71258
71877,71258
71878,71258
71879,71258
71880,71258
71881,71258
71882,71258
71883,71258
71884,71258
71885,71258
71886,71258
71887,71259
71888,71259
71889,71259
71890,71259
71891,71259
71892,71259
71893,71259
71894,71259
71895,71259
71896,71259
71897,71259
71898,71259
71899,71260
71900,71260
71901,71260
71902,71260
71903,71260
71904,71260
71905,71260
71906,71260
71907,71260
71908,71260
71909,71260
71910,71260
71911,71261
71912,71261
71913,71261
71914,71261
71915,71261
71916,71261
71917,71261
71918,71261
71919,71261
71920,71261
71921,71261
71922,71261
71923,71262
71924,71262
71925,71262
71926,71262
71927,71262
71928,71262
71929,71262
71930,71262
71931,71262
71932,71262
71933,71262
71934,71262
71935,71207
71936,71207
71937,71207
71938,71207
71939,71207
71940,71207
71941,71207
71942,71207
71943,71207
71944,71207
71945,71207
71946,71207
71947,71207
71948,71207
71949,71207
71950,71207
71951,71207
71952,71207
71953,71207
71954,71207
71955,71207
71956,71207
71957,71207
71958,71207
71959,71207
71960,71207
71961,71207
71962,71207
71963,71207
71964,71207
71965,71207
71966,71207
71967,71207
71968,71207
71969,71207
71970,71207
71971,71207
71972,71207
71973,71207
71974,71207
71975,71207
71976,71207
71977,71207
71978,71207
71979,71207
71980,71207
71981,71207
71982,71207
71983,71207
71984,71207
71985,71207
71986,71207
71987,71207
71988,71207
71989,71207
71990,71207
71991,71207
71992,71207
71993,71207
71994,71207
71995,71207
71996,71207
71997,71207
71998,71207
71999,71207
72000,71207
72001,71207
72002,71207
72003,71207
72004,71207
72005,71207
72006,71207
72007,71207
72008,71207
72009,71207
72010,71207
72011,71207
72012,71207
72013,71207
72014,71207
72015,71207
72016,71207
72017,71207
72018,71207
72019,71207
72020,71207
72021,71207
72022,71207
72023,71207
72024,71207
72025,71207
72026,71207
72027,71207
72028,71207
72029,71207
72030,71207
72031,71207
72032,71207
72033,71207
72034,71207
72035,71207
72036,71207
72037,71207
72038,71207
72039,71207
72040,71207
72041,71207
72042,71207
72043,71207
72044,71207
72045,71207
72046,71207
72047,71207
72048,71207
72049,71207
72050,71207
72051,71207
72052,71207
72053,71207
72054,71207
72055,71207
72056,71207
72057,71207
72058,71207
72059,71207
72060,71207
72061,71207
72062,71207
72063,71207
72064,71207
72065,71207
72066,71207
72067,71207
72068,71207
72069,71207
72070,71207
72071,71207
72072,71207
72073,71207
72074,71207
72075,71207
72076,71207
72077,71207
72078,71207
72079,71207
72080,71207
72081,71207
72082,71207
72083,71207
72084,71207
72085,71207
72086,71207
72087,71207
72088,71207
72089,71207
72090,71207
72091,71207
72092,71207
72093,71207
72094,71207
72095,71207
72096,71207
72097,71207
72098,71207
72099,71207
72100,71207
72101,71207
72102,71207
72103,71207
72104,71207
72105,71207
72106,71207
72107,71207
72108,71207
72109,71207
72110,71207
72111,71207
72112,71207
72113,71207
72114,71207
72115,71207
72116,71207
72117,71207
72118,71207
